x,y,z
-1.19943,-0.138765,-4.51841
-2.25815,0.846819,-5.75211
-3.21388,2.79666,-3.3702
-2.24583,0.77976,-0.671946
-2.01294,2.84402,1.56134
-0.686924,0.83092,-1.02805
-0.686924,0.83092,-1.02805
-3.64886,-0.352648,-1.93475
-3.64886,-0.352648,-1.93475
-4.81478,1.14486,-2.7831
-2.92609,-1.29895,-1.62841
-2.92609,-1.29895,-1.62841
-1.31614,-2.10198,-2.43515
-0.254502,-0.614748,-1.22864
2.70753,0.80107,-2.91652
4.70834,1.36862,-3.57975
6.835,-0.718941,-5.24635
7.46349,0.136849,-5.60208
7.46349,0.136849,-5.60208
7.46349,0.136849,-5.60208
7.46349,0.136849,-5.60208
4.80293,-2.20867,-6.11056
4.72884,-3.13965,-6.57169
6.93403,-0.18055,-6.39454
6.93403,-0.18055,-6.39454
7.54381,0.198421,-5.8651
7.73913,-0.305649,-8.8268
6.56117,0.0804289,-7.85494
8.01891,2.80206,-6.23356
9.03278,1.83831,-5.96661
