gen,path,length,meanLength
156,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
157,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
158,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
159,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
160,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
161,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
162,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
163,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
164,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
165,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
166,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
167,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
168,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
169,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
