nBlocks,directCall,discreteCall,directCallErr,discreteCallErr,directPut,discretePut,directPutErr,discretePutErr
167,14.8057,15.1906,0.149331,0.169929,5.44045,5.40516,0.0679068,0.0691313
168,14.7997,15.1934,0.148569,0.168943,5.4422,5.40713,0.0675265,0.0687491
169,14.7925,15.2018,0.147867,0.168157,5.45105,5.39844,0.0677084,0.0688938
170,14.7934,15.2034,0.147002,0.167179,5.45077,5.3922,0.0673119,0.0687732
171,14.7978,15.2204,0.146214,0.167067,5.44509,5.39189,0.0671595,0.0683729
172,14.7855,15.2307,0.145893,0.166419,5.45491,5.39066,0.0674876,0.0679877
173,14.7925,15.2282,0.145221,0.165479,5.46085,5.40174,0.0673614,0.0684971
174,14.793,15.2054,0.14439,0.166095,5.45383,5.41076,0.0673428,0.0687003
175,14.8002,15.2105,0.143747,0.165226,5.45005,5.40864,0.0670655,0.068342
176,14.7883,15.2066,0.14343,0.164334,5.44547,5.4151,0.0668427,0.0682612
177,14.7855,15.2038,0.142649,0.163433,5.44317,5.41415,0.0665058,0.0678832
178,14.7738,15.227,0.142328,0.164154,5.44114,5.41455,0.0661644,0.0675041
179,14.7569,15.2332,0.142549,0.163358,5.44503,5.41622,0.0659102,0.0671488
180,14.7503,15.227,0.141913,0.162571,5.44511,5.41646,0.0655451,0.0667772
181,14.7553,15.2237,0.14122,0.161709,5.43932,5.41341,0.0654404,0.0664793
182,14.7527,15.2233,0.140471,0.160824,5.44555,5.41563,0.0653796,0.0661524
183,14.7625,15.2208,0.140053,0.159966,5.44261,5.41873,0.0650901,0.0658645
184,14.7453,15.2057,0.140354,0.159815,5.44147,5.42603,0.0647472,0.0659134
185,14.7476,15.2005,0.139615,0.159039,5.44036,5.42816,0.0644078,0.0655926
186,14.7534,15.2027,0.138989,0.158201,5.43901,5.43287,0.0640767,0.0654105
187,14.7657,15.1804,0.138794,0.15893,5.43513,5.43693,0.0638526,0.0651883
188,14.7656,15.1784,0.138058,0.1581,5.42959,5.44214,0.0637552,0.0650515
189,14.7786,15.1688,0.137942,0.157562,5.42875,5.43708,0.0634244,0.0649058
190,14.7627,15.1554,0.138131,0.157307,5.42861,5.43278,0.0630916,0.064708
191,14.7513,15.1445,0.13788,0.156863,5.42901,5.42743,0.0627634,0.0645919
192,14.7508,15.1464,0.137165,0.15606,5.42799,5.42543,0.0624457,0.0642875
193,14.7515,15.1439,0.136458,0.155273,5.42426,5.42361,0.0622347,0.0639813
194,14.7483,15.1474,0.135795,0.154513,5.43171,5.42862,0.0623616,0.0638491
195,14.7552,15.1395,0.135278,0.153927,5.42206,5.43156,0.0627902,0.0635905
196,14.7606,15.1356,0.134701,0.153193,5.42107,5.43348,0.0624784,0.063296
197,14.7795,15.1333,0.135335,0.152435,5.41831,5.43462,0.0622234,0.0629859
198,14.7808,15.1375,0.13466,0.151727,5.42256,5.43596,0.0620558,0.062683
199,14.7919,15.1371,0.13444,0.150967,5.41479,5.43347,0.0622322,0.0624186
200,14.7997,15.1496,0.134001,0.150729,5.41147,5.42856,0.0620103,0.062301
201,14.7957,15.146,0.133397,0.150023,5.41681,5.42889,0.0619327,0.0619927
202,14.7856,15.162,0.133121,0.150135,5.41975,5.42878,0.0616971,0.0616867
203,14.7914,15.1562,0.132593,0.14951,5.41747,5.42663,0.0614363,0.061421
204,14.7811,15.1488,0.132346,0.148966,5.42178,5.42171,0.0612875,0.0613188
205,14.7827,15.156,0.131711,0.148419,5.42031,5.41613,0.061007,0.061275
206,14.7834,15.1581,0.131075,0.147716,5.41401,5.41165,0.0610376,0.0611422
207,14.7857,15.1537,0.130464,0.147072,5.41268,5.414,0.0607579,0.060893
208,14.797,15.1415,0.130331,0.14687,5.41488,5.42181,0.0605065,0.0611014
209,14.8009,15.1309,0.129768,0.146555,5.4188,5.4281,0.0603453,0.0611348
210,14.8172,15.1308,0.130167,0.145859,5.41454,5.42922,0.06021,0.0608546
211,14.8137,15.1452,0.129597,0.145883,5.41393,5.43658,0.0599284,0.0610124
212,14.8188,15.1465,0.129088,0.145202,5.41639,5.43587,0.0596971,0.0607295
213,14.8311,15.1441,0.129071,0.144542,5.4129,5.43235,0.0595198,0.0605476
214,14.8434,15.1458,0.129055,0.143878,5.40794,5.43205,0.0594501,0.060266
215,14.8413,15.1399,0.128473,0.143332,5.40722,5.43255,0.0591786,0.0599885
216,14.8438,15.1339,0.127905,0.142794,5.40408,5.43967,0.0589885,0.0601344
217,14.8447,15.1399,0.127319,0.142262,5.40601,5.43841,0.0587489,0.0598712
218,14.8399,15.1465,0.126827,0.141768,5.40622,5.44122,0.0584804,0.0596632
219,14.845,15.154,0.126354,0.14132,5.40986,5.43639,0.0583278,0.0595878
220,14.8628,15.1483,0.127023,0.140797,5.40665,5.43307,0.058152,0.0594101
221,14.8584,15.1652,0.126524,0.141182,5.40905,5.43271,0.0579391,0.059143
222,14.8654,15.15,0.126151,0.141367,5.40431,5.43571,0.0578729,0.0589536
223,14.8723,15.1534,0.125774,0.140775,5.40126,5.43962,0.0576946,0.0588198
224,14.8852,15.1692,0.125882,0.141043,5.39631,5.43541,0.057651,0.0587085
225,14.8868,15.164,0.125333,0.140515,5.3877,5.4365,0.0580365,0.0584581
226,14.8968,15.1609,0.125181,0.139929,5.3888,5.43871,0.0577908,0.0582421
227,14.9052,15.1672,0.124911,0.139457,5.38481,5.44259,0.057675,0.0581161
228,14.9023,15.1664,0.124398,0.13885,5.37949,5.43902,0.0576685,0.0579721
229,14.8901,15.1696,0.124453,0.138282,5.39033,5.43865,0.0584317,0.0577207
230,14.8694,15.1647,0.125637,0.137769,5.40224,5.43324,0.0593849,0.0577242
231,14.8614,15.1661,0.125344,0.137182,5.40591,5.43119,0.0592418,0.0575114
232,14.8713,15.1605,0.12519,0.136706,5.40146,5.43579,0.0591549,0.057448
233,14.8749,15.1577,0.124708,0.136151,5.4063,5.43813,0.0591004,0.0572499
234,14.8752,15.1552,0.124176,0.135592,5.41404,5.44031,0.0593556,0.0570475
235,14.8747,15.1556,0.12365,0.135017,5.41127,5.43584,0.0591686,0.0569809
236,14.8698,15.1438,0.123224,0.134963,5.41242,5.43726,0.0589296,0.0567577
237,14.8845,15.142,0.123579,0.134407,5.41539,5.43616,0.058757,0.0565295
238,14.9002,15.1567,0.124058,0.134654,5.40984,5.43174,0.0587738,0.0564661
239,14.9041,15.1515,0.123601,0.134193,5.40853,5.42769,0.0585431,0.0563759
240,14.9,15.1557,0.123154,0.133702,5.40927,5.42408,0.0583044,0.0562574
241,14.8965,15.1586,0.122695,0.133179,5.40517,5.4216,0.0582074,0.0560792
242,14.8985,15.1473,0.122206,0.13311,5.40144,5.41635,0.0580879,0.0560938
243,14.9146,15.1612,0.122759,0.133295,5.39938,5.41247,0.0578858,0.0559983
244,14.9062,15.1632,0.122543,0.132766,5.40144,5.41093,0.057686,0.0557906
245,14.9005,15.1474,0.122176,0.133175,5.39773,5.41418,0.0575713,0.0556585
246,14.9012,15.1494,0.121682,0.13265,5.39566,5.41134,0.0573748,0.0555054
247,14.9067,15.1576,0.121317,0.132372,5.39145,5.41054,0.0572982,0.0552869
248,14.9182,15.1514,0.121371,0.131986,5.38762,5.41624,0.0571959,0.0553589
249,14.9078,15.1461,0.121329,0.131564,5.3882,5.41779,0.0569696,0.0551587
250,14.9052,15.1439,0.120872,0.131059,5.38887,5.4152,0.0567461,0.0549992
251,14.9157,15.1215,0.120845,0.132432,5.38613,5.42076,0.0565866,0.0550614
252,14.9195,15.1308,0.120428,0.132229,5.3804,5.42151,0.0566528,0.0548486
253,14.919,15.1306,0.119954,0.131708,5.38162,5.42171,0.0564424,0.0546326
254,14.9284,15.1306,0.119849,0.13119,5.38418,5.41893,0.0562789,0.0544887
255,14.9318,15.1234,0.119428,0.130876,5.38563,5.42274,0.0560774,0.0544087
256,14.9325,15.1161,0.118965,0.13057,5.38464,5.42362,0.0558675,0.0542037
257,14.9299,15.0999,0.118532,0.131071,5.38906,5.42695,0.0558257,0.0540958
258,14.9273,15.0933,0.118102,0.130732,5.38881,5.43275,0.0556104,0.0541977
259,14.9297,15.1004,0.117672,0.130425,5.3918,5.43671,0.0554769,0.0541344
260,14.9207,15.09,0.117569,0.130341,5.39668,5.43916,0.0554792,0.0539823
261,14.9122,15.1042,0.117424,0.13062,5.40134,5.43675,0.0554625,0.0538301
