mu,sigma,integral,error
0.841606,0.599687,-0.44284,0.00162106
0.852865,0.590601,-0.437149,0.00182231
0.84744,0.609433,-0.437321,0.00198141
0.830173,0.593101,-0.423685,0.00250556
0.826004,0.603228,-0.442649,0.00145797
0.826004,0.603228,-0.442649,0.00145797
0.826002,0.578667,-0.44045,0.00170567
0.840315,0.594917,-0.441073,0.00202974
0.861685,0.612475,-0.436426,0.00231183
0.853653,0.622892,-0.449574,0.00177042
0.84207,0.631307,-0.443003,0.00220253
0.818608,0.615813,-0.457715,0.00112413
0.809672,0.629029,-0.439305,0.0025527
0.804839,0.633117,-0.445706,0.00181403
0.804839,0.633117,-0.445706,0.00181403
0.819915,0.639187,-0.44748,0.00201979
0.798235,0.65095,-0.438388,0.00197738
0.81128,0.633451,-0.446028,0.0019418
0.833229,0.646424,-0.438416,0.002272
0.825621,0.649299,-0.43426,0.00307864
0.804827,0.627498,-0.445468,0.00174664
0.796073,0.626745,-0.443908,0.0020335
0.815497,0.604428,-0.439786,0.00149801
0.797139,0.6038,-0.4396,0.0016331
0.800007,0.580652,-0.435581,0.00156828
0.795711,0.602542,-0.440377,0.00160428
0.819581,0.60849,-0.448233,0.00155635
0.803107,0.591497,-0.439757,0.00161208
0.791214,0.601311,-0.449061,0.00127067
0.792448,0.606474,-0.44688,0.00139223
0.786321,0.609751,-0.447433,0.00126484
0.786321,0.609751,-0.447433,0.00126484
0.808629,0.595621,-0.442682,0.0016482
0.81525,0.591378,-0.447916,0.00142601
0.81525,0.591378,-0.447916,0.00142601
0.811855,0.612625,-0.443921,0.00148437
0.808057,0.621027,-0.441831,0.00216261
0.800545,0.641118,-0.44384,0.00142523
0.800259,0.632371,-0.44566,0.00172259
0.800345,0.607927,-0.441149,0.00139289
0.790187,0.59002,-0.441293,0.00172389
0.789259,0.597045,-0.447254,0.00133257
0.796394,0.620995,-0.446837,0.00146608
0.774784,0.617795,-0.444097,0.00148421
0.774784,0.617795,-0.444097,0.00148421
0.774784,0.617795,-0.444097,0.00148421
0.761431,0.623151,-0.435927,0.0016312
0.746568,0.613978,-0.430166,0.00151536
0.761659,0.604671,-0.433873,0.00148178
0.78169,0.623195,-0.432038,0.00246704
0.80197,0.632897,-0.433422,0.00210699
0.782081,0.623026,-0.437199,0.00194997
0.772954,0.63312,-0.44678,0.00161725
0.786022,0.636177,-0.4383,0.00173526
0.808668,0.64674,-0.452889,0.00183993
0.808668,0.64674,-0.452889,0.00183993
0.808668,0.64674,-0.452889,0.00183993
0.803916,0.656351,-0.43609,0.00224718
0.790504,0.639566,-0.443639,0.00235615
0.790504,0.639566,-0.443639,0.00235615
0.790504,0.639566,-0.443639,0.00235615
0.78879,0.663113,-0.431267,0.00280803
0.808835,0.652959,-0.432759,0.00210458
0.785967,0.649249,-0.431564,0.00249552
0.78217,0.633999,-0.441751,0.00162342
0.802973,0.651355,-0.436791,0.00247601
0.788176,0.664682,-0.430709,0.00191713
0.803724,0.653454,-0.436209,0.00182361
0.803724,0.653454,-0.436209,0.00182361
0.803724,0.653454,-0.436209,0.00182361
0.782437,0.631177,-0.441569,0.00169998
0.766337,0.612042,-0.431821,0.00179705
0.781248,0.608587,-0.446029,0.00127612
0.803023,0.630248,-0.440002,0.00217765
0.816802,0.63051,-0.442434,0.00191284
0.837653,0.627216,-0.436828,0.00263424
0.854514,0.638776,-0.438444,0.00265358
0.854514,0.638776,-0.438444,0.00265358
0.875241,0.662207,-0.415921,0.00399428
0.852514,0.659804,-0.422954,0.0030523
0.852514,0.659804,-0.422954,0.0030523
0.83893,0.647721,-0.435215,0.00224381
0.82391,0.633563,-0.447636,0.00179053
0.82391,0.633563,-0.447636,0.00179053
0.829973,0.637639,-0.447127,0.00206487
0.829973,0.637639,-0.447127,0.00206487
0.831414,0.623281,-0.445807,0.00232984
0.830269,0.613206,-0.441188,0.00211597
0.846992,0.634155,-0.439539,0.00238811
