x,y,z
0.287692,1.86549,-0.302787
0.287692,1.86549,-0.302787
0.287692,1.86549,-0.302787
0.287692,1.86549,-0.302787
0.287692,1.86549,-0.302787
0.287692,1.86549,-0.302787
0.715472,1.38334,-0.0618862
1.10267,1.024,0.103542
0.875686,1.06201,0.307411
0.576993,0.80317,-0.109764
0.576993,0.80317,-0.109764
0.416547,0.446814,0.211168
0.429938,-0.0360606,0.701797
0.06943,0.292779,0.588338
0.552659,0.438176,0.276447
0.552659,0.438176,0.276447
0.158738,0.348785,0.729636
-0.32978,0.205673,0.547519
-0.773535,0.124583,0.246743
-0.790182,-0.360422,-0.0392777
-0.431026,0.0878005,-0.160091
-0.230353,-0.0194221,-0.00254856
-0.117805,0.37964,0.475813
0.0458182,0.422475,0.499342
0.398802,0.543098,0.393787
0.179173,0.42706,0.23411
-0.237684,0.325284,-0.0575986
-0.237684,0.325284,-0.0575986
-0.0689983,0.121652,0.374929
-0.0689983,0.121652,0.374929
-0.249647,0.0190496,0.596663
-0.38449,-0.477097,0.482561
-0.697181,-0.21814,0.219442
-0.697181,-0.21814,0.219442
-0.697181,-0.21814,0.219442
-0.697181,-0.21814,0.219442
-0.697181,-0.21814,0.219442
-0.568429,0.12233,0.699067
-0.568429,0.12233,0.699067
-0.568429,0.12233,0.699067
-0.568429,0.12233,0.699067
-0.666613,-0.266097,0.242905
-0.666613,-0.266097,0.242905
-0.530944,-0.428734,-0.203414
-0.530944,-0.428734,-0.203414
-0.602167,-0.431541,-0.266764
-0.52253,0.026849,-0.0345971
-0.490463,0.0353249,-0.478092
-0.203885,-0.372922,-0.10073
-0.203885,-0.372922,-0.10073
0.0222838,0.00119465,-0.119383
-0.202455,-0.031696,0.0333359
-0.202455,-0.031696,0.0333359
0.227573,-0.458058,0.107232
0.589212,-0.0490683,-0.184777
0.685434,-0.0593784,-0.62466
0.35351,0.366785,-0.255392
0.35351,0.366785,-0.255392
0.35351,0.366785,-0.255392
0.607044,0.186094,-0.425959
0.607044,0.186094,-0.425959
0.322552,0.317495,-0.244701
0.0530843,0.0373644,-0.396658
-0.173785,-0.0780147,-0.75827
-0.052095,-0.0155908,-0.334142
-0.0900003,0.418724,-0.0351188
0.0540697,0.285538,0.4421
0.0608293,0.359097,0.0115985
0.200612,0.163078,0.036309
-0.276328,0.0277866,-0.262746
-0.208004,-0.292626,-0.130999
-0.208004,-0.292626,-0.130999
-0.362844,0.0378369,0.217704
-0.0388716,-0.162337,0.0253672
-0.0693872,-0.403271,-0.412358
-0.522822,-0.769434,-0.894391
-0.482204,-0.522335,-0.781392
-0.834677,-0.319444,-0.382715
-0.566389,-0.284313,-0.454165
-0.361469,-0.632419,-0.175565
-0.361469,-0.632419,-0.175565
-0.361469,-0.632419,-0.175565
-0.738217,-0.64359,-0.0769424
-0.983543,-0.250497,0.137976
-1.05286,-0.396156,-0.0683186
-0.561507,-0.725475,0.177515
-0.343335,-0.348856,0.498003
-0.343335,-0.348856,0.498003
-0.421674,-0.240154,0.626627
-0.486262,0.187609,0.34177
-0.0808061,0.386479,0.396994
-0.00472322,0.392119,0.689058
-0.00472322,0.392119,0.689058
-0.241117,-0.101569,0.701583
-0.68426,0.05325,0.962279
-0.286006,-0.363179,0.787364
-0.286006,-0.363179,0.787364
-0.174137,-0.58692,0.439451
0.299034,-0.260755,0.354324
0.299034,-0.260755,0.354324
0.0829228,0.18577,0.749008
0.410402,0.223204,0.320621
0.410402,0.223204,0.320621
0.410402,0.223204,0.320621
0.0796772,0.324853,0.59291
0.0286456,-0.141449,0.31292
-0.339077,-0.447807,0.524528
-0.235813,-0.544009,0.502564
0.118448,-0.263668,0.60633
0.314619,-0.448826,0.519994
0.314619,-0.448826,0.519994
-0.125541,-0.0254318,0.637688
0.097147,0.00733073,0.509858
0.0441075,-0.429199,0.885653
0.446819,-0.194472,0.789716
0.278917,0.171384,0.820601
0.213526,0.4676,0.944722
-0.109225,-0.0283841,0.817562
-0.00179576,-0.414652,0.521262
-0.31011,-0.697723,0.571229
-0.31011,-0.697723,0.571229
0.0306921,-0.686613,0.433192
0.387833,-0.835913,0.0179481
0.387833,-0.835913,0.0179481
0.387833,-0.835913,0.0179481
0.387833,-0.835913,0.0179481
0.595907,-0.925856,0.16856
0.595907,-0.925856,0.16856
0.45626,-1.08793,0.567705
0.298419,-0.630391,0.941683
0.031513,-0.729514,0.467005
0.031513,-0.729514,0.467005
-0.418524,-0.424746,0.68479
-0.334698,-0.917802,0.213879
-0.552347,-1.20115,0.255248
-0.22619,-1.58476,0.425735
-0.22619,-1.58476,0.425735
-0.196343,-1.2546,0.864212
0.122169,-1.42902,0.42188
0.156586,-1.00077,0.576439
0.367968,-1.12147,0.394057
0.841518,-0.763146,-0.00733825
1.01965,-0.309598,-0.310461
0.903529,-0.354034,-0.304167
0.584427,-0.636494,0.0374907
0.584427,-0.636494,0.0374907
0.195179,-0.734523,-0.171422
-0.236023,-0.631562,-0.655948
-0.106649,-0.449298,-1.04544
-0.374776,-0.164798,-0.58697
-0.374776,-0.164798,-0.58697
-0.169947,0.267551,-1.07194
-0.169947,0.267551,-1.07194
-0.169947,0.267551,-1.07194
0.07907,0.400157,-0.90665
-0.201165,-0.0589903,-0.59715
-0.0179703,-0.531875,-0.505443
-0.0192388,-0.110955,-0.573433
0.27037,-0.122519,-0.20713
0.0443146,-0.183617,0.153521
0.0443146,-0.183617,0.153521
-0.0938371,0.143625,0.183562
-0.373607,0.410539,0.022932
-0.436725,0.706156,0.417347
-0.0317757,0.276708,0.613277
-0.0317757,0.276708,0.613277
-0.260928,0.366167,0.28981
-0.260928,0.366167,0.28981
-0.260928,0.366167,0.28981
-0.356925,0.299003,0.534861
-0.018585,0.254402,0.951616
-0.439776,0.0903984,0.988743
-0.131265,0.184138,0.501212
-0.131265,0.184138,0.501212
-0.317961,-0.0305582,0.545183
-0.367185,0.3154,0.605074
-0.199227,-0.152183,0.781633
-0.609306,0.0807693,0.398822
-0.112234,0.117472,0.404841
-0.122942,0.521598,0.0854236
-0.381064,0.1879,-0.328276
-0.381064,0.1879,-0.328276
0.0794392,0.322287,-0.784765
0.0794392,0.322287,-0.784765
0.103981,0.682844,-1.05803
0.317085,0.486633,-0.642454
0.513193,0.444093,-0.524762
0.984785,0.325777,-0.353149
1.24774,0.518914,-0.0480469
0.806135,0.952209,-0.388801
